1,3,0.795
1,3,1.658
1,3,2.332
1,3,3.165
1,3,3.992
1,3,4.895
1,3,5.678
1,3,6.543
1,3,7.269
1,3,8.096
2,0,0.516
2,0,1.279
2,0,1.957
2,0,2.854
2,0,3.419
2,0,4.097
2,0,4.756
2,0,5.469
2,0,6.14
2,0,6.896
5,3,0.171
5,3,0.833
5,3,1.493
5,3,2.03
5,3,2.595
5,0,3.223
5,0,3.72
5,0,4.351
5,0,4.884
5,0,5.534
5,2,5.925
5,2,6.876
5,2,7.633
5,2,8.105
5,2,8.906
5,2,9.5
5,2,10.22
6,3,0.668
6,3,1.093
6,3,1.827
6,3,2.435
6,3,3.081
6,3,6.708
6,3,7.331
6,3,7.904
6,3,8.514
6,3,9.28
6,0,0.688
6,0,1.093
6,0,1.827
6,0,2.435
6,0,3.081
6,0,6.708
6,0,7.331
6,0,7.904
6,0,8.514
6,0,9.28
6,2,3.729
6,2,4.323
6,2,4.934
6,2,5.501
7,3,0.745
7,3,2.233
7,3,3.64
7,3,5.228
7,3,6.691
7,3,8.22
7,3,9.539
7,3,10.88
7,3,12.16
7,3,13.52
7,0,0.745
7,0,2.233
7,0,3.64
7,0,5.228
7,0,6.691
7,0,8.22
7,0,9.539
7,0,10.88
7,0,12.16
7,0,13.52
9,2,0.496
9,2,1.315
9,2,2.346
9,2,3.459
9,2,4.407
9,2,5.258
9,2,6.111
9,2,7.035
9,2,7.869
9,2,8.782
10,3,0.352
10,3,4.215
10,3,7.278
10,3,11.57
10,3,14.75
10,1,1.192
10,1,5.132
10,1,9.091
10,1,12.45
10,1,15.77
10,2,2.017
10,2,6.068
